Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId,P1_x_next,P1_y_next,P2_x_next,P2_y_next
1020.0,Demitri,Trundle,8.0,120.0,0.5245333333333333,0.36466666666666664,100.0,JUNGLE,G2 Luffy,LeeSin,12.0,99.0,0.48693333333333333,0.5666,200.0,JUNGLE,3081.061018545397,NA1_5321104340,0.10226666666666667,0.5389333333333334,0.4772666666666667,0.6028
1080.0,Demitri,Trundle,12.0,120.0,0.10226666666666667,0.5389333333333334,100.0,JUNGLE,G2 Luffy,LeeSin,16.0,99.0,0.4772666666666667,0.6028,200.0,JUNGLE,5705.99588152673,NA1_5321104340,0.46053333333333335,0.3448,0.48313333333333336,0.7314666666666667
1140.0,Demitri,Trundle,12.0,132.0,0.46053333333333335,0.3448,100.0,JUNGLE,G2 Luffy,LeeSin,16.0,99.0,0.48313333333333336,0.7314666666666667,200.0,JUNGLE,5809.898536119198,NA1_5321104340,0.6258,0.14733333333333334,0.6830666666666667,0.19646666666666668
1200.0,Demitri,Trundle,12.0,144.0,0.6258,0.14733333333333334,100.0,JUNGLE,G2 Luffy,LeeSin,22.0,103.0,0.6830666666666667,0.19646666666666668,200.0,JUNGLE,1131.8347935984298,NA1_5321104340,0.5182,0.24566666666666667,0.6394,0.6223333333333333
1260.0,Demitri,Trundle,12.0,148.0,0.5182,0.24566666666666667,100.0,JUNGLE,G2 Luffy,LeeSin,22.0,111.0,0.6394,0.6223333333333333,200.0,JUNGLE,5935.286345240641,NA1_5321104340,0.16,0.5556666666666666,0.4938,0.17873333333333333
1320.0,Demitri,Trundle,12.0,159.0,0.16,0.5556666666666666,100.0,JUNGLE,G2 Luffy,LeeSin,22.0,115.0,0.4938,0.17873333333333333,200.0,JUNGLE,7552.335069367619,NA1_5321104340,0.0388,0.0372,0.7510666666666667,0.7148
1380.0,Demitri,Trundle,23.0,163.0,0.0388,0.0372,100.0,JUNGLE,G2 Luffy,LeeSin,22.0,119.0,0.7510666666666667,0.7148,200.0,JUNGLE,14746.347073088982,NA1_5321104340,0.537,0.37493333333333334,0.6144666666666667,0.572
1440.0,Demitri,Trundle,23.0,163.0,0.537,0.37493333333333334,100.0,JUNGLE,G2 Luffy,LeeSin,23.0,127.0,0.6144666666666667,0.572,200.0,JUNGLE,3176.189540943676,NA1_5321104340,0.6288,0.5762,0.6684,0.3762666666666667
1500.0,Demitri,Trundle,35.0,167.0,0.6288,0.5762,100.0,JUNGLE,G2 Luffy,LeeSin,28.0,131.0,0.6684,0.3762666666666667,200.0,JUNGLE,3057.2597207303143,NA1_5321104340,0.23146666666666665,0.5203333333333333,0.7391333333333333,0.44593333333333335
1560.0,Demitri,Trundle,35.0,167.0,0.23146666666666665,0.5203333333333333,100.0,JUNGLE,G2 Luffy,LeeSin,30.0,143.0,0.7391333333333333,0.44593333333333335,200.0,JUNGLE,7696.342053209433,NA1_5321104340,0.31566666666666665,0.5682666666666667,0.3045333333333333,0.6946
1620.0,Demitri,Trundle,35.0,179.0,0.31566666666666665,0.5682666666666667,100.0,JUNGLE,G2 Luffy,LeeSin,30.0,143.0,0.3045333333333333,0.6946,200.0,JUNGLE,1902.344343172392,NA1_5321104340,0.3473333333333333,0.7158666666666667,0.10226666666666667,0.27473333333333333
1680.0,Demitri,Trundle,36.0,179.0,0.3473333333333333,0.7158666666666667,100.0,JUNGLE,G2 Luffy,LeeSin,32.0,147.0,0.10226666666666667,0.27473333333333333,200.0,JUNGLE,7569.522111732022,NA1_5321104340,0.12453333333333333,0.0964,0.14913333333333334,0.1116
0.0,ToastandButter3x,Kayn,0.0,0.0,0.03953333333333333,0.030933333333333334,100.0,JUNGLE,Corey mfkn brah,Nunu,0.0,0.0,0.9692666666666667,0.9596,200.0,JUNGLE,19711.311879223056,NA1_5321113366,0.2264,0.5154666666666666,0.41833333333333333,0.6826666666666666
